sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
橋頭,高雄市,84,細懸浮微粒,普通,2.9,0.44,21,36,75,35,21,21.9,1.2,1.2,30,"2024-11-30 01:00",,0.3,28.9,73,1,120.305689,22.757506,48
美濃,高雄市,67,細懸浮微粒,普通,2.1,0.31,22,39,42,21,8,9.8,1.3,0.5,126,"2024-11-30 01:00",,0.3,22,48,2,120.530542,22.883583,47
臺南,臺南市,92,細懸浮微粒,普通,3,0.46,22,39,73,41,23,24.2,1,1.4,10,"2024-11-30 01:00",,0.4,32.1,74,2,120.21947897,22.98928311,46
安南,臺南市,94,細懸浮微粒,普通,1.6,0.44,22,39,72,35,18,18.2,0.6,1.5,324,"2024-11-30 01:00",,0.3,33,77,1,120.2175,23.048197,45
善化,臺南市,88,細懸浮微粒,普通,1.8,0.4,20,36,80,42,17,17.6,0.7,0.9,358,"2024-11-30 01:00",,0.3,30.5,72,2,120.29740529,23.11337642,44
新營,臺南市,99,細懸浮微粒,普通,1.9,0.4,22,34,70,44,17,18.3,1.1,0.7,32,"2024-11-30 01:00",,0.3,34.8,75,1,120.31725,23.305633,43
嘉義,嘉義市,81,細懸浮微粒,普通,2.5,0.46,9,25,71,35,25,25.7,0.8,0.7,218,"2024-11-30 01:00",,0.4,27.8,67,2,120.44125148,23.46477865,42
臺西,雲林縣,54,懸浮微粒,普通,1.5,0.27,34,46,50,15,9,8.8,0,1.4,63,"2024-11-30 01:00",,0.2,15.6,54,1,120.19933333,23.702175,41
朴子,嘉義縣,57,細懸浮微粒,普通,2.4,0.31,25,38,48,20,13,13.9,1,0.5,347,"2024-11-30 01:00",,0.3,18.1,56,1,120.2478,23.46538,40
新港,嘉義縣,100,細懸浮微粒,普通,2.5,0.38,28,36,68,33,12,13.5,1,1,344,"2024-11-30 01:00",,0.4,35.4,75,2,120.345531,23.554839,39
崙背,雲林縣,65,細懸浮微粒,普通,1.6,0.29,24,34,50,23,13,13.7,0.3,0.2,75,"2024-11-30 01:00",,0.3,21.1,57,1,120.348742,23.757547,38
斗六,雲林縣,80,細懸浮微粒,普通,1.7,0.35,18,31,58,31,16,16.2,0.5,0.4,146,"2024-11-30 01:00",,0.3,27.2,59,1,120.544994,23.711853,37
南投,南投縣,66,細懸浮微粒,普通,1.2,0.35,7,21,37,24,16,17.1,1,1,163,"2024-11-30 01:00",,0.3,21.5,41,1,120.685306,23.913,36
二林,彰化縣,59,細懸浮微粒,普通,3,0.3,22,36,49,18,11,12.6,1.1,0.7,7,"2024-11-30 01:00",,0.2,18.6,55,2,120.409653,23.925175,35
線西,彰化縣,49,,良好,7.8,0.26,27,34,39,13,16,18,1.4,0.3,53,"2024-11-30 01:00",,0.2,15,44,3,120.469061,24.131672,34
彰化,彰化縣,57,細懸浮微粒,普通,0.9,0.34,13,26,35,17,24,24.2,0.3,0.4,141,"2024-11-30 01:00",,0.4,18,41,1,120.541519,24.066,33
西屯,臺中市,57,細懸浮微粒,普通,1.3,0.43,9,29,40,23,26,27.5,1.9,0.5,127,"2024-11-30 01:00",,0.3,18.1,42,1,120.616917,24.162197,32
忠明,臺中市,54,細懸浮微粒,普通,1.5,0.55,7,24,47,19,34,36,1.9,0.8,277,"2024-11-30 01:00",,0.4,16.8,43,1,120.641092,24.151958,31
大里,臺中市,60,細懸浮微粒,普通,1.5,0.49,8,19,43,21,21,22.6,1.7,0.9,266,"2024-11-30 01:00",,0.5,19,45,1,120.67844444,24.09961111,30
沙鹿,臺中市,55,細懸浮微粒,普通,1.7,0.35,6,14,38,22,20,21,1,0.5,0,"2024-11-30 01:00",,0.2,17.3,42,2,120.568794,24.225628,29
豐原,臺中市,51,細懸浮微粒,普通,1.8,0.25,28,38,20,13,7,7,0.3,1.4,109,"2024-11-30 01:00",,0.2,15.7,26,1,120.74252414,24.25699731,28
三義,苗栗縣,39,,良好,1.1,0.32,14,,24,11,19,20.7,1.9,1.1,21,"2024-11-30 01:00",,0.2,12.1,30,1,120.75956754,24.38248443,27
苗栗,苗栗縣,44,,良好,1.4,0.27,16,32,25,12,16,16.6,0.6,1.1,146,"2024-11-30 01:00",,0.3,13.7,36,1,120.82011468,24.56499183,26
頭份,苗栗縣,42,,良好,1.3,0.24,33,39,28,14,12,12.9,1.2,1.6,91,"2024-11-30 01:00",,0.2,13,37,1,120.89869286,24.69690679,25
新竹,新竹市,39,,良好,1.9,0.3,32,37,27,8,17,17.6,0.8,1.2,45,"2024-11-30 01:00",,0.3,11.9,37,1,120.97236752,24.8056356,24
竹東,新竹縣,43,,良好,0.5,0.2,25,35,23,13,4,4.7,0.5,0.9,87,"2024-11-30 01:00",,0.2,13.2,30,0,121.08895493,24.74091408,23
湖口,新竹縣,38,,良好,2.2,0.21,38,42,26,7,10,9.9,0.3,2.7,61,"2024-11-30 01:00",,0.2,11.3,36,2,121.03886894,24.90009696,22
龍潭,桃園市,39,,良好,1.1,0.18,40,42,38,9,8,8.1,0.1,3,62,"2024-11-30 01:00",,0.2,11.2,39,1,121.21645772,24.86400048,21
平鎮,桃園市,39,,良好,1.3,0.25,40,40,30,8,11,13.1,1.8,2.3,74,"2024-11-30 01:00",,0.3,12.1,35,1,121.203986,24.952786,20
觀音,桃園市,48,,良好,3.5,0.21,41,44,31,11,10,11,0.7,4.2,87,"2024-11-30 01:00",,0.2,14.7,42,2,121.08283092,25.03556747,19
大園,桃園市,42,,良好,2.6,0.24,30,39,30,11,24,24.6,0.5,3.1,67,"2024-11-30 01:00",,0.2,12.9,38,2,121.20251473,25.06100357,18
桃園,桃園市,37,,良好,1.4,0.23,39,41,21,5,12,12.1,0.5,2.3,64,"2024-11-30 01:00",,0.3,9.6,34,2,121.30500531,24.9947107,17
大同,臺北市,43,,良好,1.4,0.39,30,21,29,12,19,22.6,3.9,-,-,"2024-11-30 01:00",,0.6,13.3,35,1,121.51342074,25.06331455,16
松山,臺北市,43,,良好,3.2,0.28,22,26,31,12,18,19.4,0.9,0.9,22,"2024-11-30 01:00",,0.3,11.9,43,1,121.578611,25.05,15
古亭,臺北市,39,,良好,2.4,0.18,44,42,22,11,7,7.5,0.9,2,54,"2024-11-30 01:00",,0.2,11.7,34,2,121.529556,25.020608,14
萬華,臺北市,36,,良好,1.8,0.25,34,31,26,7,15,15.7,0.6,1.2,99,"2024-11-30 01:00",,0.3,11.2,33,1,121.507972,25.046503,13
中山,臺北市,44,,良好,1.2,0.23,35,29,24,13,14,15.6,1.4,2.4,72,"2024-11-30 01:00",,0.3,13.7,33,1,121.526528,25.062361,12
士林,臺北市,45,,良好,1,0.15,47,50,22,7,5,5.8,0.7,1.6,148,"2024-11-30 01:00",,0.2,8.7,28,1,121.51666356,25.10334003,11
淡水,新北市,44,,良好,1.6,0.28,32,33,24,12,9,9.6,0.9,0.9,70,"2024-11-30 01:00",,0.3,13.5,34,1,121.449239,25.1645,10
林口,新北市,41,,良好,2.2,0.19,42,45,18,4,8,8.6,0.6,3.4,94,"2024-11-30 01:00",,0.2,9.4,28,1,121.36548982,25.07798949,9
菜寮,新北市,40,,良好,1.5,0.25,35,40,40,10,17,18.3,0.9,2.3,83,"2024-11-30 01:00",,0.3,12.2,33,1,121.481028,25.06895,8
新莊,新北市,42,,良好,1.9,0.22,37,41,34,7,12,12.1,0.2,3.1,68,"2024-11-30 01:00",,0.2,12.3,42,1,121.4325,25.037972,7
板橋,新北市,38,,良好,1,0.25,43,42,20,14,12,12.9,0.3,1.9,104,"2024-11-30 01:00",,0.3,10.8,32,1,121.458667,25.012972,6
土城,新北市,40,,良好,1,0.21,45,44,29,5,8,8.6,0.4,1.4,57,"2024-11-30 01:00",,0.3,9.9,34,1,121.451861,24.982528,5
新店,新北市,46,,良好,0.6,0.18,40,40,19,10,6,6.3,0.4,2,118,"2024-11-30 01:00",,0.2,14.2,33,0,121.537778,24.977222,4
萬里,新北市,41,,良好,0.8,0.16,32,45,21,11,2,3,0.6,2.8,221,"2024-11-30 01:00",,0.1,10.8,33,0,121.689881,25.179667,3
汐止,新北市,49,,良好,4.3,0.26,16,25,26,15,24,25.3,1.4,1.2,42,"2024-11-30 01:00",,0.2,15.2,34,1,121.64081,25.06624,2
基隆,基隆市,34,,良好,1.2,0.29,21,36,21,9,13,13.7,0.5,0.2,330,"2024-11-30 01:00",,0.2,10.6,28,1,121.760056,25.129167,1
屏東(枋山),屏東縣,45,,良好,0,0.15,51,50,23,13,3,2.9,0,1.3,103,"2024-11-30 00:00",,0.1,12.9,28,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,49,,良好,0.5,0.14,36,41,34,18,,,,4.1,297,"2024-11-30 00:00",,0.1,15.2,33,0,121.61575076,23.97709367,312
新北(樹林),新北市,37,,良好,0.8,0.2,32,33,28,7,15,17.2,1.7,0.1,173,"2024-11-30 00:00",,0.3,11.5,37,1,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,66,細懸浮微粒,普通,2.5,0.46,35,59,76,29,22,22.4,0.5,2.4,337,"2024-11-30 00:00",,0.2,21.4,53,3,120.37722,22.35222,204
臺南（麻豆）,臺南市,79,細懸浮微粒,普通,1.9,0.44,24,41,84,39,17,17.5,0.8,1.5,0,"2024-11-30 00:00",,0.3,26.9,73,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,64,細懸浮微粒,普通,2.5,0.37,15,41,70,25,31,31.2,0.6,0.4,20,"2024-11-30 00:00",,0.2,20.7,63,2,120.24535,22.87985556,202
彰化（員林）,彰化縣,64,細懸浮微粒,普通,1.9,0.49,10,27,57,24,26,27.2,1.3,0.4,291,"2024-11-30 00:00",,0.4,20.9,56,1,120.56373,23.96117,201
大城,彰化縣,55,細懸浮微粒,普通,2.3,0.2,45,51,46,15,5,7.1,1.8,1.7,79,"2024-11-30 00:00",,0.2,17.1,45,2,120.26964167,23.85493056,85
富貴角,新北市,61,臭氧八小時,普通,0.3,0.12,51,58,70,7,1,1.1,0,4.4,117,"2024-11-30 00:00",,0.1,9.7,49,0,121.53656894,25.29681695,84
麥寮,雲林縣,64,細懸浮微粒,普通,2.2,0.36,32,44,46,19,12,13.2,0.7,1.5,48,"2024-11-30 00:00",,0.3,20.6,54,2,120.251825,23.753506,83
關山,臺東縣,39,,良好,1.8,0.19,31,35,30,11,3,3.6,0.4,0.4,23,"2024-11-30 00:00",,0.2,11.9,33,1,121.161933,23.045083,80
馬公,澎湖縣,67,臭氧八小時,普通,1.7,0.17,59,61,30,10,3,3.2,0.4,4,30,"2024-11-30 00:00",,0.1,11.5,30,1,119.566158,23.569031,78
金門,金門縣,46,,良好,1.7,0.23,41,50,48,13,9,9.9,0.7,1.4,26,"2024-11-30 00:00",,0.2,13.6,40,1,118.312256,24.432133,77
馬祖,連江縣,49,,良好,0.6,0.17,55,53,32,12,2,2.9,0.7,0.7,36,"2024-11-30 00:00",,0.1,13.1,33,1,119.952724,26.153736,75
埔里,南投縣,74,細懸浮微粒,普通,1.2,0.38,13,29,35,21,10,11.2,0.8,0.3,313,"2024-11-30 00:00",,0.4,24.8,35,1,120.967903,23.968842,72
復興,高雄市,78,細懸浮微粒,普通,2.6,0.51,24,39,76,28,26,28,1.8,1,259,"2024-11-30 00:00",,0.5,26.4,75,1,120.312017,22.608711,71
永和,新北市,40,,良好,1.2,0.25,43,44,24,8,9,10.7,1.3,1.5,87,"2024-11-30 00:00",,0.3,10.7,35,1,121.516306,25.017,70
竹山,南投縣,73,細懸浮微粒,普通,0.7,0.3,16,31,38,26,12,12.8,0.5,1.1,130,"2024-11-30 00:00",,0.3,24.6,43,0,120.677306,23.756389,69
中壢,桃園市,47,,良好,1.8,0.41,34,26,28,11,17,21.9,4.9,0.6,12,"2024-11-30 00:00",,0.7,14.4,38,2,121.221667,24.953278,68
三重,新北市,56,二氧化氮,普通,2.1,0.64,13,15,26,11,38,67.5,29.4,-,-,"2024-11-30 00:00",,1,14.3,36,1,121.493806,25.072611,67
冬山,宜蘭縣,41,,良好,0.9,0.2,37,42,42,17,4,4.1,0.4,0.2,300,"2024-11-30 00:00",,0.2,11.9,41,1,121.792928,24.632203,66
宜蘭,宜蘭縣,43,,良好,1.2,0.19,39,46,34,10,4,3.9,0.3,0.8,332,"2024-11-30 00:00",,0.2,10.9,36,1,121.746394,24.747917,65
陽明,臺北市,50,,良好,1.3,0.17,50,55,22,3,2,2.4,0.5,3.5,70,"2024-11-30 00:00",,0.1,6.2,29,1,121.529583,25.182722,64
花蓮,花蓮縣,41,,良好,1.5,0.28,33,34,40,13,6,7.7,1.2,1,265,"2024-11-30 00:00",,0.3,12.5,40,1,121.599769,23.971306,63
臺東,臺東縣,37,,良好,1.2,0.18,41,40,29,10,3,3.1,0,2.1,298,"2024-11-30 00:00",,0.2,10.5,26,1,121.15045,22.755358,62
恆春,屏東縣,49,,良好,1.1,0.17,54,53,27,12,2,2.9,1,8,25,"2024-11-30 00:00",,0.1,12.5,27,1,120.788928,21.958069,61
潮州,屏東縣,71,細懸浮微粒,普通,1.3,0.29,19,47,63,24,11,11.5,0.2,0.6,36,"2024-11-30 00:00",,0.2,23.6,51,1,120.561175,22.523108,60
屏東,屏東縣,72,細懸浮微粒,普通,1.5,0.32,36,46,65,23,14,14.1,0.4,0.7,355,"2024-11-30 00:00",,0.4,24.2,67,1,120.488033,22.673081,59
小港,高雄市,76,細懸浮微粒,普通,2.6,0.52,23,39,71,29,30,30.1,0.4,1,358,"2024-11-30 00:00",,0.4,25.5,72,1,120.337736,22.565833,58
前鎮,高雄市,80,懸浮微粒,普通,2.6,0.55,23,39,82,29,26,27.3,1.3,2.8,22,"2024-11-30 00:00",,0.5,26.8,80,1,120.30833356,22.6044507,57
前金,高雄市,82,懸浮微粒,普通,2.6,0.45,25,42,78,30,24,24.8,1.3,3.1,346,"2024-11-30 00:00",,0.4,24.8,82,1,120.28676111,22.63390278,56
左營,高雄市,81,細懸浮微粒,普通,3,0.55,25,45,83,34,23,23.4,0.7,1.5,331,"2024-11-30 00:00",,0.4,27.8,80,1,120.292917,22.674861,54
楠梓,高雄市,72,懸浮微粒,普通,2.9,0.38,24,43,64,29,21,21.4,0.4,0.7,346,"2024-11-30 00:00",,0.3,22.9,72,1,120.328289,22.733667,53
林園,高雄市,78,細懸浮微粒,普通,4,0.48,26,52,81,31,26,27.1,0.8,1.9,324,"2024-11-30 00:00",,0.3,26.4,73,3,120.41175,22.4795,52
大寮,高雄市,79,細懸浮微粒,普通,2.2,0.34,32,38,44,28,18,18.4,0.6,1.5,338,"2024-11-30 00:00",,0.3,27,45,1,120.425311,22.56413611,51
鳳山,高雄市,85,細懸浮微粒,普通,3.5,0.52,19,35,74,38,28,29.8,1.4,1.2,276,"2024-11-30 00:00",,0.6,29.3,75,2,120.357422,22.628126,50
仁武,高雄市,74,細懸浮微粒,普通,3.6,0.4,23,40,63,31,23,24,0.9,1.7,327,"2024-11-30 00:00",,0.3,24.8,61,2,120.332631,22.689056,49
橋頭,高雄市,79,細懸浮微粒,普通,2.8,0.41,24,41,72,36,22,22.9,1,2,13,"2024-11-30 00:00",,0.3,26.9,72,1,120.305689,22.757506,48
美濃,高雄市,69,細懸浮微粒,普通,2.2,0.3,28,45,53,28,8,9.7,1.4,0.2,115,"2024-11-30 00:00",,0.3,22.7,48,2,120.530542,22.883583,47
臺南,臺南市,82,細懸浮微粒,普通,3.4,0.51,21,45,79,43,25,26.1,1,1.4,4,"2024-11-30 00:00",,0.3,28.2,73,2,120.21947897,22.98928311,46
安南,臺南市,89,細懸浮微粒,普通,2.1,0.5,22,45,82,45,20,20.5,0.4,1.5,326,"2024-11-30 00:00",,0.3,30.9,76,1,120.2175,23.048197,45
善化,臺南市,80,細懸浮微粒,普通,2.3,0.42,24,42,83,44,17,17.7,0.7,0.9,342,"2024-11-30 00:00",,0.2,27.2,70,2,120.29740529,23.11337642,44
新營,臺南市,91,細懸浮微粒,普通,2.2,0.43,25,39,77,44,17,18.3,1,1.2,15,"2024-11-30 00:00",,0.3,31.6,74,1,120.31725,23.305633,43
嘉義,嘉義市,77,細懸浮微粒,普通,3.2,0.47,14,32,66,30,25,26.1,0.8,0.4,285,"2024-11-30 00:00",,0.4,26.2,66,2,120.44125148,23.46477865,42
臺西,雲林縣,55,懸浮微粒,普通,1.8,0.3,34,50,60,14,11,10.9,0,2,32,"2024-11-30 00:00",,0.2,15.5,55,1,120.19933333,23.702175,41
朴子,嘉義縣,59,懸浮微粒,普通,2.6,0.45,26,43,49,22,14,14.8,1,0.4,103,"2024-11-30 00:00",,0.2,17.6,59,1,120.2478,23.46538,40
新港,嘉義縣,94,細懸浮微粒,普通,2.7,0.51,26,41,84,54,13,14.1,1.1,1.4,17,"2024-11-30 00:00",,0.3,33,74,2,120.345531,23.554839,39
崙背,雲林縣,63,細懸浮微粒,普通,1.7,0.29,23,38,40,20,16,16.3,0.2,0.2,289,"2024-11-30 00:00",,0.3,20.5,58,1,120.348742,23.757547,38
斗六,雲林縣,78,細懸浮微粒,普通,1.7,0.39,16,36,59,27,18,18.4,0.7,0.6,180,"2024-11-30 00:00",,0.3,26.5,59,1,120.544994,23.711853,37
南投,南投縣,64,細懸浮微粒,普通,1.2,0.33,9,26,37,23,16,17.2,1,1.5,195,"2024-11-30 00:00",,0.3,20.7,42,1,120.685306,23.913,36
二林,彰化縣,61,細懸浮微粒,普通,2.5,0.27,28,41,48,15,11,12.3,1.2,0.3,338,"2024-11-30 00:00",,0.2,19.5,58,2,120.409653,23.925175,35
線西,彰化縣,52,細懸浮微粒,普通,3.4,0.26,18,38,40,17,26,28.8,2.3,1.3,35,"2024-11-30 00:00",,0.2,15.9,45,2,120.469061,24.131672,34
彰化,彰化縣,58,細懸浮微粒,普通,1,0.4,14,32,36,15,26,26.7,0.5,0.3,103,"2024-11-30 00:00",,0.4,18.2,42,1,120.541519,24.066,33
西屯,臺中市,54,細懸浮微粒,普通,1.6,0.42,13,34,38,19,27,28.8,2.1,0.3,136,"2024-11-30 00:00",,0.3,16.9,42,1,120.616917,24.162197,32
忠明,臺中市,53,二氧化氮,普通,1.7,0.58,7,30,44,20,34,35.8,1.6,0.6,261,"2024-11-30 00:00",,0.4,15.9,42,1,120.641092,24.151958,31
大里,臺中市,58,細懸浮微粒,普通,1.9,0.51,9,24,46,21,26,28.4,2.1,0.7,244,"2024-11-30 00:00",,0.4,18.4,44,1,120.67844444,24.09961111,30
沙鹿,臺中市,54,細懸浮微粒,普通,1.7,0.32,10,16,45,16,17,17.4,0.7,1.1,15,"2024-11-30 00:00",,0.2,16.7,42,2,120.568794,24.225628,29
豐原,臺中市,53,細懸浮微粒,普通,1.8,0.23,28,41,20,18,6,6.8,0.3,1.5,90,"2024-11-30 00:00",,0.2,16.2,28,1,120.74252414,24.25699731,28
三義,苗栗縣,39,,良好,1.1,0.23,28,,24,11,9,10.7,1.6,2.6,21,"2024-11-30 00:00",,0.2,12,31,1,120.75956754,24.38248443,27
苗栗,苗栗縣,47,,良好,1.6,0.28,18,36,26,15,16,17.4,0.9,0.8,173,"2024-11-30 00:00",,0.3,14.5,38,1,120.82011468,24.56499183,26
頭份,苗栗縣,41,,良好,1.3,0.27,34,41,37,13,16,17.4,1.3,1.3,100,"2024-11-30 00:00",,0.2,12.6,40,1,120.89869286,24.69690679,25
新竹,新竹市,42,,良好,2.1,0.31,32,40,34,10,17,18,1,1.4,53,"2024-11-30 00:00",,0.3,12.8,40,1,120.97236752,24.8056356,24
竹東,新竹縣,42,,良好,0.5,0.22,25,38,27,14,6,6.8,0.5,0.9,119,"2024-11-30 00:00",,0.2,12.9,31,0,121.08895493,24.74091408,23
湖口,新竹縣,40,,良好,2.4,0.23,38,44,33,12,11,11.1,0.2,3.2,48,"2024-11-30 00:00",,0.2,12,40,2,121.03886894,24.90009696,22
龍潭,桃園市,40,,良好,1.2,0.2,40,44,31,7,9,8.8,0.2,2.2,54,"2024-11-30 00:00",,0.2,12,39,1,121.21645772,24.86400048,21
平鎮,桃園市,43,,良好,1.1,0.27,40,40,27,8,13,14.6,1.9,1.9,76,"2024-11-30 00:00",,0.3,13.1,37,1,121.203986,24.952786,20
觀音,桃園市,51,細懸浮微粒,普通,3.8,0.21,40,45,32,12,12,13.3,0.7,5.4,86,"2024-11-30 00:00",,0.2,15.7,45,2,121.08283092,25.03556747,19
大園,桃園市,42,,良好,2.2,0.19,39,42,30,11,14,14.9,0.8,3,67,"2024-11-30 00:00",,0.2,13,40,2,121.20251473,25.06100357,18
桃園,桃園市,38,,良好,1.4,0.24,40,42,27,7,12,12.7,0.5,2.2,51,"2024-11-30 00:00",,0.3,10.7,37,2,121.30500531,24.9947107,17
大同,臺北市,48,,良好,1.5,0.44,21,21,30,12,30,40.1,10.2,-,-,"2024-11-30 00:00",,0.6,13.5,37,1,121.51342074,25.06331455,16
松山,臺北市,46,,良好,2.8,0.31,22,29,41,9,22,24.3,1.8,1.3,19,"2024-11-30 00:00",,0.3,12.1,46,1,121.578611,25.05,15
古亭,臺北市,39,,良好,2.4,0.21,40,42,24,7,10,11.4,1.3,2.1,51,"2024-11-30 00:00",,0.2,11.8,37,2,121.529556,25.020608,14
萬華,臺北市,41,,良好,1.6,0.27,32,32,29,10,18,19.3,1,1.7,86,"2024-11-30 00:00",,0.3,12.6,35,1,121.507972,25.046503,13
中山,臺北市,45,,良好,1.3,0.29,27,30,27,11,24,26.4,2.5,2.6,70,"2024-11-30 00:00",,0.4,13.9,36,1,121.526528,25.062361,12
士林,臺北市,45,,良好,1.2,0.17,48,50,21,12,6,6.8,1,1.4,149,"2024-11-30 00:00",,0.2,9.2,31,1,121.51666356,25.10334003,11
淡水,新北市,46,,良好,1.5,0.25,37,36,26,8,8,9.5,0.9,1.4,40,"2024-11-30 00:00",,0.3,14.1,37,1,121.449239,25.1645,10
林口,新北市,42,,良好,2.3,0.21,44,45,21,7,8,8.6,0.7,2.4,97,"2024-11-30 00:00",,0.2,10.7,31,1,121.36548982,25.07798949,9
菜寮,新北市,42,,良好,2.1,0.28,31,42,26,10,20,20.9,0.7,1.6,80,"2024-11-30 00:00",,0.3,13,32,1,121.481028,25.06895,8
新莊,新北市,44,,良好,1.8,0.21,35,43,36,10,15,15.8,0.4,3.3,74,"2024-11-30 00:00",,0.2,13.3,44,1,121.4325,25.037972,7
板橋,新北市,40,,良好,1.6,0.3,40,43,30,11,15,15.7,0.3,1.2,75,"2024-11-30 00:00",,0.3,10.5,35,1,121.458667,25.012972,6
土城,新北市,41,,良好,1,0.26,45,45,30,8,10,11,0.7,2,301,"2024-11-30 00:00",,0.3,11,35,1,121.451861,24.982528,5
新店,新北市,51,細懸浮微粒,普通,0.7,0.21,38,41,28,13,8,8.8,0.6,2,107,"2024-11-30 00:00",,0.2,15.5,36,0,121.537778,24.977222,4
萬里,新北市,44,,良好,0.7,0.17,32,48,17,7,3,3.5,0.5,3.7,222,"2024-11-30 00:00",,0.1,10.7,37,0,121.689881,25.179667,3
汐止,新北市,49,,良好,3.6,0.28,15,29,29,14,26,27.6,2,1.3,35,"2024-11-30 00:00",,0.2,15.2,36,1,121.64081,25.06624,2
基隆,基隆市,37,,良好,1.3,0.3,21,40,22,11,15,15.1,0.5,0.3,310,"2024-11-30 00:00",,0.2,11,30,1,121.760056,25.129167,1
屏東(枋山),屏東縣,48,,良好,0,0.16,52,53,21,8,3,3.3,0,2.4,75,"2024-11-29 23:00",,0.1,13.2,30,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,49,,良好,0.7,0.17,37,41,32,14,9,8.4,0,3.4,291,"2024-11-29 23:00",,0.1,15,34,0,121.61575076,23.97709367,312
新北(樹林),新北市,41,,良好,1,0.26,34,34,32,11,16,18.8,2.9,0,160,"2024-11-29 23:00",,0.3,12.5,39,1,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,77,臭氧八小時,普通,1.6,0.29,47,63,79,24,16,16.6,0.7,2.2,318,"2024-11-29 23:00",,0.2,20,48,3,120.37722,22.35222,204
臺南（麻豆）,臺南市,72,細懸浮微粒,普通,2.1,0.45,22,46,85,34,22,22.8,0.7,1.7,6,"2024-11-29 23:00",,0.2,24.1,70,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,61,細懸浮微粒,普通,2.4,0.35,21,48,69,26,28,29,0.5,0.4,337,"2024-11-29 23:00",,0.2,19.4,61,2,120.24535,22.87985556,202
彰化（員林）,彰化縣,61,細懸浮微粒,普通,1.8,0.47,16,33,60,26,24,25.7,1.5,0.4,255,"2024-11-29 23:00",,0.4,19.5,55,1,120.56373,23.96117,201
大城,彰化縣,57,細懸浮微粒,普通,3.3,0.28,40,55,44,17,11,13,1.8,3.3,46,"2024-11-29 23:00",,0.1,18,45,2,120.26964167,23.85493056,85
富貴角,新北市,64,臭氧八小時,普通,0.2,0.12,53,60,44,10,1,1.2,0,5.2,90,"2024-11-29 23:00",,0.1,10,45,0,121.53656894,25.29681695,84
麥寮,雲林縣,65,細懸浮微粒,普通,3.3,0.43,28,49,54,24,17,18.2,1,1.7,8,"2024-11-29 23:00",,0.2,21,56,2,120.251825,23.753506,83
關山,臺東縣,38,,良好,2,0.2,33,35,34,12,3,3.7,0.5,1,354,"2024-11-29 23:00",,0.2,11.8,35,1,121.161933,23.045083,80
馬公,澎湖縣,67,臭氧八小時,普通,1.5,0.17,60,61,36,10,3,3.4,0.5,3.7,30,"2024-11-29 23:00",,0.1,11.6,30,1,119.566158,23.569031,78
金門,金門縣,49,,良好,1.6,0.21,49,53,40,13,7,7.5,0.8,1.7,25,"2024-11-29 23:00",,0.2,13.9,39,1,118.312256,24.432133,77
馬祖,連江縣,49,,良好,0.5,0.16,53,53,29,16,2,3,0.7,0.5,61,"2024-11-29 23:00",,0.1,13,34,1,119.952724,26.153736,75
埔里,南投縣,77,細懸浮微粒,普通,1.2,0.4,16,35,40,28,11,12.4,1.1,0.3,320,"2024-11-29 23:00",,0.3,25.9,35,1,120.967903,23.968842,72
復興,高雄市,78,細懸浮微粒,普通,2.3,0.56,26,44,84,34,28,30,1.8,1.1,274,"2024-11-29 23:00",,0.5,26.3,76,1,120.312017,22.608711,71
永和,新北市,41,,良好,1.3,0.29,44,44,25,8,10,11.1,1.6,1.7,78,"2024-11-29 23:00",,0.3,11,38,1,121.516306,25.017,70
竹山,南投縣,74,細懸浮微粒,普通,0.9,0.35,16,38,39,21,15,15.7,0.5,0.6,251,"2024-11-29 23:00",,0.3,24.7,45,0,120.677306,23.756389,69
中壢,桃園市,51,細懸浮微粒,普通,1.6,0.53,30,26,33,12,23,31.9,8.7,0.6,340,"2024-11-29 23:00",,0.7,15.5,42,2,121.221667,24.953278,68
三重,新北市,57,二氧化氮,普通,2.3,0.9,13,16,29,14,40,77.1,36.8,-,-,"2024-11-29 23:00",,1,15,39,1,121.493806,25.072611,67
冬山,宜蘭縣,41,,良好,0.9,0.19,39,43,39,11,3,3.8,0.3,0.2,245,"2024-11-29 23:00",,0.2,10.8,41,1,121.792928,24.632203,66
宜蘭,宜蘭縣,44,,良好,1.3,0.2,41,48,34,11,4,4.4,0.3,0.7,341,"2024-11-29 23:00",,0.2,11.7,36,1,121.746394,24.747917,65
陽明,臺北市,51,臭氧八小時,普通,1.4,0.17,52,56,23,4,2,2.4,0.7,3.8,60,"2024-11-29 23:00",,0.2,7.1,31,1,121.529583,25.182722,64
花蓮,花蓮縣,42,,良好,1.4,0.3,34,34,42,11,7,8.5,1.3,1.1,297,"2024-11-29 23:00",,0.3,12.9,40,1,121.599769,23.971306,63
臺東,臺東縣,37,,良好,1.4,0.18,41,40,26,9,4,3.6,0,1.8,299,"2024-11-29 23:00",,0.2,10.6,26,1,121.15045,22.755358,62
